"No.","Time","Source","Destination","Protocol","Length","Info"
"3366","21.261710017","10.0.2.15","18.192.151.104","MQTT","98","Subscribe Request (id=10) [factory/department3/floor0/humidity]"
"3417","22.153647416","::1","::1","MQTT","112","Subscribe Request (id=15) [factory/building2]"
"3418","22.153702921","::1","::1","MQTT","122","Subscribe Request (id=10) [hospital/facility0/section0]"
"3429","22.204368594","10.0.2.15","18.192.151.104","MQTT","78","Subscribe Request (id=12) [house/facility0]"
"3431","22.205106038","::1","::1","MQTT","119","Subscribe Request (id=16) [factory/building2/room1]"
"3484","23.220297519","10.0.2.15","18.192.151.104","MQTT","102","Subscribe Request (id=16) [university/fxlugs/room1/hydraulic_valve]"
"3546","24.221290938","10.0.2.15","18.192.151.104","MQTT","78","Subscribe Request (id=14) [hospital/fxlugs]"
"3621","25.238038244","::1","::1","MQTT","124","Subscribe Request (id=15) [factory/fxlugs/room1/humidity]"
"3680","26.237009666","10.0.2.15","18.192.151.104","MQTT","78","Subscribe Request (id=18) [hospital/fxlugs]"
"3842","28.231770324","10.0.2.15","18.192.151.104","MQTT","80","Subscribe Request (id=16) [house/department3]"
"3844","28.239817977","10.0.2.15","18.192.151.104","MQTT","85","Subscribe Request (id=19) [university/department3]"
"3848","28.275887326","10.0.2.15","18.192.151.104","MQTT","77","Subscribe Request (id=14) [hospital/room0]"
"3934","30.232836640","10.0.2.15","18.192.151.104","MQTT","97","Subscribe Request (id=17) [metaverse/facility0/floor0/deposit]"
"3936","30.240937059","10.0.2.15","18.192.151.104","MQTT","92","Subscribe Request (id=20) [hospital/room0/area0/humidity]"
"3972","31.283136856","10.0.2.15","18.192.151.104","MQTT","91","Subscribe Request (id=18) [metaverse/department3/floor0]"
"4061","32.252595892","10.0.2.15","18.192.151.104","MQTT","96","Subscribe Request (id=21) [university/room0/section0/deposit]"
"4192","35.287073227","10.0.2.15","18.192.151.104","MQTT","92","Subscribe Request (id=20) [university/department3/floor0]"
"4243","36.345158534","10.0.2.15","18.192.151.104","MQTT","95","Subscribe Request (id=21) [factory/department3/floor0/light]"
"4405","40.367404434","10.0.2.15","18.192.151.104","MQTT","92","Subscribe Request (id=23) [university/facility0/section0]"
"4435","41.368194416","10.0.2.15","18.192.151.104","MQTT","80","Subscribe Request (id=24) [house/department3]"
"8283","255.991334631","::1","::1","MQTT","110","Subscribe Request (id=1) [hello_this_test]"
